Longitude,Latitude,Grid(Long-Lad size 0.00005),Grid2(Long-Lad size 0.0005),Grid3(Long-Lad size 0.0001),Grid4(Long-Lad size 0.001),Roadsegment
-8.628372,41.156964,114_28,12_3,57_14,6_2,80865
-8.628381,41.15727,114_34,12_4,57_17,6_2,274012
-8.627895,41.157702,124_42,13_5,62_21,7_3,276278
-8.62785,41.157801,125_44,13_5,63_22,7_3,276280
-8.627832,41.15799,125_48,13_5,63_24,7_3,276267
-8.627445,41.158503,133_58,14_6,67_29,7_3,2653
-8.626743,41.158971,147_68,15_7,74_34,8_4,2652
-8.626383,41.159142,154_71,16_8,77_36,8_4,2652
-8.628651,41.160015,109_89,11_9,55_45,6_5,136779
-8.628903,41.159232,104_73,11_8,52_37,6_4,136780
-8.629587,41.158836,90_65,9_7,45_33,5_4,276243
-8.630136,41.158467,79_58,8_6,40_29,4_3,276246
-8.631828,41.158395,45_56,5_6,23_28,3_3,288428
-8.628147,41.15772,119_43,12_5,60_22,6_3,274015
-8.628219,41.157585,118_40,12_4,59_20,6_2,250667
-8.628318,41.158134,116_51,12_6,58_26,6_3,274037
-8.627724,41.158557,127_60,13_6,64_30,7_3,2653
-8.626032,41.159268,161_74,17_8,81_37,9_4,2652
-8.625132,41.159682,179_82,18_9,90_41,9_5,2652
-8.624331,41.159997,195_88,20_9,98_44,10_5,208041
-8.628138,41.157558,119_40,12_4,60_20,6_2,276275
-8.626689,41.157639,148_41,15_5,74_21,8_3,2967
-8.624916,41.157117,184_31,19_4,92_16,10_2,10812
-8.625114,41.156253,180_13,18_2,90_7,9_1,10813
-8.623179,41.155785,218_4,22_1,109_2,11_1,10801
-8.623215,41.158431,218_57,22_6,109_29,11_3,208986
-8.624637,41.159331,189_75,19_8,95_38,10_4,208979
-8.624709,41.159619,188_81,19_9,94_41,10_5,208975
-8.624691,41.16006,188_90,19_9,94_45,10_5,229911
-8.624259,41.15925,197_73,20_8,99_37,10_4,208982
-8.628291,41.157441,116_37,12_4,58_19,6_2,274013
-8.628183,41.157468,118_38,12_4,59_19,6_2,274013
-8.627958,41.157783,123_44,13_5,62_22,7_3,274016
-8.628156,41.158467,119_58,12_6,60_29,6_3,274034
-8.629785,41.158692,86_62,9_7,43_31,5_4,250691
-8.630379,41.157936,74_47,8_5,37_24,4_3,276249
-8.630118,41.157234,80_33,8_4,40_17,4_2,276254
-8.629578,41.156505,90_18,9_2,45_9,5_1,2934
-8.627598,41.155902,130_6,13_1,65_3,7_1,80864
-8.62839,41.156829,114_25,12_3,57_13,6_2,80864
-8.628381,41.157135,114_31,12_4,57_16,6_2,276271
-8.628012,41.157684,122_42,13_5,61_21,7_3,276278
-8.628165,41.158305,119_54,12_6,60_27,6_3,274021
-8.629182,41.158872,98_66,10_7,49_33,5_4,276241
-8.630379,41.15826,74_54,8_6,37_27,4_3,231192
-8.63244,41.158521,33_59,4_6,17_30,2_3,288431
-8.624601,41.159358,190_76,19_8,95_38,10_4,208978
-8.628174,41.156568,118_20,12_2,59_10,6_1,80864
-8.628327,41.157216,115_33,12_4,58_17,6_2,274012
-8.627958,41.157936,123_47,13_5,62_24,7_3,274018
-8.628336,41.158548,115_59,12_6,58_30,6_3,274024
-8.628525,41.160051,111_89,12_9,56_45,6_5,148169
-8.624646,41.159871,189_86,19_9,95_43,10_5,208041
-8.626464,41.159142,153_71,16_8,77_36,8_4,2652
-8.627589,41.158701,130_62,13_7,65_31,7_4,2653
-8.628435,41.158746,113_63,12_7,57_32,6_4,134547
-8.630118,41.158512,80_59,8_6,40_30,4_3,276246
-8.630253,41.158341,77_55,8_6,39_28,4_3,276247
-8.630307,41.15763,76_41,8_5,38_21,4_3,276251
-8.629614,41.157072,90_30,9_3,45_15,5_2,276256
-8.629164,41.156991,99_28,10_3,50_14,5_2,276260
-8.628516,41.156892,112_26,12_3,56_13,6_2,80864
-8.627724,41.155866,127_6,13_1,64_3,7_1,80864
-8.624232,41.160006,197_89,20_9,99_45,10_5,208041
-8.624142,41.159916,199_87,20_9,100_44,10_5,208041
-8.624097,41.159997,200_88,20_9,100_44,10_5,208041
-8.628129,41.15763,119_41,12_5,60_21,6_3,250668
-8.627985,41.157783,122_44,13_5,61_22,7_3,274016
-8.628219,41.158305,118_54,12_6,59_27,6_3,274021
-8.628678,41.159574,108_80,11_8,54_40,6_4,148168
-8.623737,41.158683,207_62,21_7,104_31,11_4,208984
-8.623845,41.158782,205_64,21_7,103_32,11_4,208983
-8.624106,41.158935,200_67,20_7,100_34,10_4,208983
-8.624439,41.159097,193_70,20_7,97_35,10_4,208982
-8.624529,41.159196,191_72,20_8,96_36,10_4,208981
-8.624628,41.159286,189_74,19_8,95_37,10_4,208979
-8.624727,41.160069,187_90,19_9,94_45,10_5,229911
-8.628777,41.15925,106_73,11_8,53_37,6_4,136780
-8.630181,41.158305,78_54,8_6,39_27,4_3,276247
-8.632746,41.158602,27_60,3_6,14_30,2_3,288431
-8.628489,41.157027,112_29,12_3,56_15,6_2,80865
-8.628552,41.156964,111_28,12_3,56_14,6_2,276263
-8.628291,41.157504,116_38,12_4,58_19,6_2,225384
-8.628021,41.157981,121_48,13_5,61_24,7_3,274018
-8.629317,41.1588,96_64,10_7,48_32,5_4,225309
-8.630901,41.158152,64_51,7_6,32_26,4_3,288427
-8.631477,41.159106,52_71,6_8,26_36,3_4,234775
-8.63181,41.159916,46_87,5_9,23_44,3_5,128068
-8.630118,41.157252,80_33,8_4,40_17,4_2,276254
-8.62992,41.157117,83_31,9_4,42_16,5_2,276255
-8.628525,41.157126,111_31,12_4,56_16,6_2,274011
-8.627976,41.158215,122_53,13_6,61_27,7_3,274019
-8.627004,41.158818,142_65,15_7,71_33,8_4,2652
-8.625465,41.159601,173_80,18_8,87_40,9_4,2652
-8.6238,41.16015,206_91,21_10,103_46,11_5,208041
-8.624763,41.159673,187_82,19_9,94_41,10_5,208975
-8.623809,41.158746,206_63,21_7,103_32,11_4,208984
-8.623755,41.157594,207_40,21_4,104_20,11_2,53210
-8.624529,41.157198,191_32,20_4,96_16,10_2,12223
-8.624763,41.157198,187_32,19_4,94_16,10_2,12224
-8.62515,41.156613,179_21,18_3,90_11,9_2,10813
-8.626428,41.155839,153_5,16_1,77_3,8_1,273139
-8.626491,41.155929,152_7,16_1,76_4,8_1,273139
-8.626527,41.156478,151_18,16_2,76_9,8_1,273110
-8.626014,41.157351,162_35,17_4,81_18,9_2,273145
-8.626005,41.157432,162_37,17_4,81_19,9_2,2970
-8.625996,41.157531,162_39,17_4,81_20,9_2,2970
-8.628183,41.15772,118_43,12_5,59_22,6_3,225393
-8.628201,41.157621,118_41,12_5,59_21,6_3,250668
-8.628336,41.157432,115_37,12_4,58_19,6_2,225386
-8.628237,41.157477,117_38,12_4,59_19,6_2,250667
-8.628003,41.157738,122_43,13_5,61_22,7_3,225395
-8.627931,41.157819,123_45,13_5,62_23,7_3,276280
-8.627985,41.15817,122_52,13_6,61_26,7_3,276268
-8.628561,41.158854,111_65,12_7,56_33,6_4,134548
-8.629263,41.158944,97_67,10_7,49_34,5_4,276241
-8.630226,41.158386,77_56,8_6,39_28,4_3,276247
-8.631774,41.158476,46_58,5_6,23_29,3_3,288428
-8.633592,41.158719,10_63,1_7,5_32,1_4,288419
-8.632512,41.157747,32_43,4_5,16_22,2_3,259926
-8.63235,41.157657,35_42,4_5,18_21,2_3,259926
-8.632431,41.15781,33_45,4_5,17_23,2_3,259926
-8.632926,41.158413,23_57,3_6,12_29,2_3,259929
-8.633493,41.158701,12_62,2_7,6_31,1_4,288419
-8.633097,41.158971,20_68,2_7,10_34,1_4,52556
-8.633052,41.159268,21_74,3_8,11_37,2_4,52556
-8.623305,41.156901,216_26,22_3,108_13,11_2,80862
-8.624448,41.157216,193_33,20_4,97_17,10_2,2949
-8.62785,41.158242,125_53,13_6,63_27,7_3,276268
-8.628372,41.158548,114_59,12_6,57_30,6_3,278837
-8.6292,41.158719,98_63,10_7,49_32,5_4,257988
-8.629362,41.158773,95_64,10_7,48_32,5_4,250688
-8.630163,41.158098,79_50,8_5,40_25,4_3,250696
-8.630001,41.157324,82_35,9_4,41_18,5_2,276254
-8.62983,41.157108,85_31,9_4,43_16,5_2,276255
-8.629461,41.156622,93_21,10_3,47_11,5_2,208935
-8.629758,41.15574,87_3,9_1,44_2,5_1,2938
-8.628327,41.157324,115_35,12_4,58_18,6_2,274012
-8.628012,41.157666,122_42,13_5,61_21,7_3,274015
-8.628165,41.158089,119_50,12_5,60_25,6_3,225340
-8.629056,41.158908,101_67,11_7,51_34,6_4,276277
-8.629245,41.158917,97_67,10_7,49_34,5_4,276241
-8.629695,41.158791,88_64,9_7,44_32,5_4,276243
-8.630244,41.158044,77_49,8_5,39_25,4_3,250697
-8.62956,41.157081,91_30,10_3,46_15,5_2,250708
-8.629713,41.155938,88_7,9_1,44_4,5_1,2936
-8.630901,41.160114,64_91,7_10,32_46,4_5,142763
-8.630415,41.159466,74_78,8_8,37_39,4_4,156182
-8.630073,41.159016,80_69,8_7,40_35,4_4,156185
-8.629983,41.158971,82_68,9_7,41_34,5_4,156185
-8.629812,41.158737,86_63,9_7,43_32,5_4,156186
-8.630181,41.158233,78_53,8_6,39_27,4_3,250696
-8.63028,41.157837,76_45,8_5,38_23,4_3,250699
-8.629965,41.157288,83_34,9_4,42_17,5_2,250704
-8.629047,41.157045,101_29,11_3,51_15,6_2,274007
-8.628174,41.157333,118_35,12_4,59_18,6_2,276274
-8.627382,41.157567,134_40,14_4,67_20,7_2,2966
-8.626599,41.157468,150_38,15_4,75_19,8_2,2968
-8.625726,41.157333,167_35,17_4,84_18,9_2,2971
-8.625231,41.157234,177_33,18_4,89_17,9_2,2971
-8.625096,41.156541,180_19,18_2,90_10,9_1,10813
-8.62533,41.155677,175_2,18_1,88_1,9_1,10814
-8.624412,41.155605,194_0,20_0,97_0,10_0,10793
-8.630181,41.159025,78_69,8_7,39_35,4_4,156185
-8.630064,41.158863,81_66,9_7,41_33,5_4,156185
-8.629965,41.158737,83_63,9_7,42_32,5_4,156186
-8.630262,41.158197,77_52,8_6,39_26,4_3,276264
-8.630073,41.157234,80_33,8_4,40_17,4_2,276254
-8.629929,41.157009,83_29,9_3,42_15,5_2,276255
-8.629065,41.156865,101_26,11_3,51_13,6_2,276260
-8.628633,41.156937,109_27,11_3,55_14,6_2,276263
-8.628012,41.15655,122_19,13_2,61_10,7_1,80864
-8.627661,41.156019,129_9,13_1,65_5,7_1,80864
-8.633196,41.158494,18_58,2_6,9_29,1_3,197344
-8.633106,41.158422,20_57,2_6,10_29,1_3,197345
-8.632998,41.158278,22_54,3_6,11_27,2_3,197345
-8.632926,41.158188,23_52,3_6,12_26,2_3,197345
-8.632638,41.157891,29_46,3_5,15_23,2_3,259926
-8.632404,41.157648,34_41,4_5,17_21,2_3,259926
-8.632314,41.157558,36_40,4_4,18_20,2_2,259926
-8.631945,41.157153,43_31,5_4,22_16,3_2,259927
-8.631837,41.157027,45_29,5_3,23_15,3_2,259927
-8.631675,41.156847,48_25,5_3,24_13,3_2,259927
-8.631531,41.156739,51_23,6_3,26_12,3_2,197348
-8.631432,41.156649,53_21,6_3,27_11,3_2,197349
-8.631171,41.156793,58_24,6_3,29_12,3_2,10198
-8.630973,41.156892,62_26,7_3,31_13,4_2,10197
-8.630811,41.156982,66_28,7_3,33_14,4_2,10197
-8.630532,41.157144,71_31,8_4,36_16,4_2,10197
-8.630334,41.157261,75_34,8_4,38_17,4_2,10197
-8.62956,41.157,91_28,10_3,46_14,5_2,276257
-8.628507,41.156784,112_24,12_3,56_12,6_2,80864
-8.628426,41.156865,113_26,12_3,57_13,6_2,80864
-8.627778,41.156001,126_8,13_1,63_4,7_1,80864
-8.627607,41.155758,130_4,13_1,65_2,7_1,80868
-8.624439,41.159925,193_87,20_9,97_44,10_5,208041
-8.624367,41.159016,195_69,20_7,98_35,10_4,208982
-8.62362,41.158116,209_51,21_6,105_26,11_3,53210
-8.624403,41.157036,194_29,20_3,97_15,10_2,12223
-8.624763,41.157171,187_32,19_4,94_16,10_2,12224
-8.625132,41.156568,179_20,18_2,90_10,9_1,10813
-8.628894,41.159313,104_75,11_8,52_38,6_4,136780
-8.629506,41.158881,92_66,10_7,46_33,5_4,276242
-8.63055,41.158251,71_53,8_6,36_27,4_3,231194
-8.630991,41.158323,62_55,7_6,31_28,4_3,288427
-8.632935,41.15862,23_61,3_7,12_31,2_4,288432
-8.627616,41.157765,130_44,13_5,65_22,7_3,2952
-8.627778,41.157774,126_44,13_5,63_22,7_3,2954
-8.627949,41.157981,123_48,13_5,62_24,7_3,276267
-8.627958,41.158071,123_50,13_5,62_25,7_3,276267
-8.628651,41.158656,109_62,11_7,55_31,6_4,278841
-8.629344,41.158845,95_65,10_7,48_33,5_4,250687
-8.630181,41.158449,78_57,8_6,39_29,4_3,276246
-8.631531,41.158368,51_56,6_6,26_28,3_3,288427
-8.632683,41.158557,28_60,3_6,14_30,2_3,288431
-8.633232,41.158656,17_62,2_7,9_31,1_4,288418
-8.633736,41.158764,7_64,1_7,4_32,1_4,288419
-8.634042,41.1588,1_64,1_7,1_32,1_4,288419
-8.627706,41.157855,128_45,13_5,64_23,7_3,2953
-8.627949,41.15808,123_50,13_5,62_25,7_3,276267
-8.628525,41.158755,111_63,12_7,56_32,6_4,134547
-8.628966,41.158926,103_67,11_7,52_34,6_4,276277
-8.629713,41.158809,88_65,9_7,44_33,5_4,250689
-8.630289,41.158215,76_53,8_6,38_27,4_3,276264
-8.630199,41.157486,78_38,8_4,39_19,4_2,276252
-8.628732,41.157189,107_32,11_4,54_16,6_2,274010
-8.627904,41.156127,124_11,13_2,62_6,7_1,80864
-8.627481,41.155812,132_5,14_1,66_3,7_1,80868
-8.63262,41.158449,29_57,3_6,15_29,2_3,288425
-8.631027,41.158188,61_52,7_6,31_26,4_3,288426
-8.630289,41.157945,76_47,8_5,38_24,4_3,276248
-8.629785,41.157162,86_32,9_4,43_16,5_2,276255
-8.629389,41.157027,94_29,10_3,47_15,5_2,276257
-8.628642,41.157,109_28,11_3,55_14,6_2,276263
-8.628165,41.156487,119_18,12_2,60_9,6_1,80864
-8.62749,41.155794,132_4,14_1,66_2,7_1,80868
-8.628462,41.157126,113_31,12_4,57_16,6_2,276271
-8.627976,41.157702,122_42,13_5,61_21,7_3,276278
-8.627976,41.158179,122_52,13_6,61_26,7_3,274019
-8.629758,41.158665,87_62,9_7,44_31,5_4,250691
-8.631387,41.158323,54_55,6_6,27_28,3_3,288427
-8.62992,41.158629,83_61,9_7,42_31,5_4,276245
-8.630307,41.157765,76_44,8_5,38_22,4_3,276250
-8.62929,41.156955,96_27,10_3,48_14,5_2,276258
-8.62848,41.156676,112_22,12_3,56_11,6_2,80864
-8.627526,41.15574,131_3,14_1,66_2,7_1,80868
-8.628894,41.159331,104_75,11_8,52_38,6_4,136780
-8.629506,41.158872,92_66,10_7,46_33,5_4,276242
-8.63028,41.158179,76_52,8_6,38_26,4_3,276264
-8.630307,41.158035,76_49,8_5,38_25,4_3,276265
-8.630289,41.157585,76_40,8_4,38_20,4_2,276251
-8.629209,41.156937,98_27,10_3,49_14,5_2,276259
-8.628363,41.156766,115_24,12_3,58_12,6_2,80864
-8.627751,41.156091,127_10,13_1,64_5,7_1,80864
-8.627436,41.155722,133_3,14_1,67_2,7_1,80867
-8.623782,41.160069,206_90,21_9,103_45,11_5,208041
-8.623467,41.158737,213_63,22_7,107_32,11_4,208984
-8.624619,41.159637,190_81,19_9,95_41,10_5,208975
-8.624682,41.159745,188_83,19_9,94_42,10_5,208974
-8.623854,41.160087,205_90,21_9,103_45,11_5,208041
-8.624385,41.159889,194_86,20_9,97_43,10_5,208041
-8.625906,41.15934,164_75,17_8,82_38,9_4,2652
-8.627274,41.158791,136_64,14_7,68_32,7_4,2653
-8.627364,41.158746,135_63,14_7,68_32,7_4,2653
-8.628354,41.158773,115_64,12_7,58_32,6_4,134547
-8.628822,41.159133,105_71,11_8,53_36,6_4,148168
-8.623377,41.158521,214_59,22_6,107_30,11_3,208986
-8.624673,41.159349,188_75,19_8,94_38,10_4,208978
-8.624664,41.15943,189_77,19_8,95_39,10_4,208977
-8.6247,41.159781,188_84,19_9,94_42,10_5,208974
-8.629875,41.15709,84_30,9_3,42_15,5_2,276255
-8.629587,41.156397,90_16,9_2,45_8,5_1,2934
-8.624322,41.160024,195_89,20_9,98_45,10_5,208041
-8.624394,41.159952,194_87,20_9,97_44,10_5,208041
-8.625069,41.159763,181_84,18_9,91_42,10_5,2652
-8.626239,41.159205,157_72,16_8,79_36,8_4,2652
-8.626527,41.159124,151_71,16_8,76_36,8_4,2652
-8.626698,41.15907,148_70,15_7,74_35,8_4,2652
-8.627049,41.158872,141_66,15_7,71_33,8_4,2652
-8.627139,41.158827,139_65,14_7,70_33,7_4,2652
-8.627238,41.158791,137_64,14_7,69_32,7_4,2652
-8.628183,41.158593,118_60,12_6,59_30,6_3,134546
-8.629353,41.158845,95_65,10_7,48_33,5_4,276242
-8.629605,41.158782,90_64,9_7,45_32,5_4,276243
-8.629839,41.158683,85_62,9_7,43_31,5_4,189267
-8.629965,41.158602,83_60,9_6,42_30,5_3,250692
-8.630163,41.158188,79_52,8_6,40_26,4_3,250696
-8.630262,41.157783,77_44,8_5,39_22,4_3,250699
-8.630244,41.157612,77_41,8_5,39_21,4_3,250700
-8.630055,41.157333,81_35,9_4,41_18,5_2,250703
-8.62902,41.157018,101_29,11_3,51_15,6_2,274007
-8.623782,41.157081,206_30,21_3,103_15,11_2,80862
-8.626059,41.157477,161_38,17_4,81_19,9_2,2951
-8.627652,41.157738,129_43,13_5,65_22,7_3,2952
-8.627994,41.15817,122_52,13_6,61_26,7_3,276268
-8.628552,41.158773,111_64,12_7,56_32,6_4,134547
-8.629947,41.158602,83_60,9_6,42_30,5_3,276245
-8.630199,41.157369,78_36,8_4,39_18,4_2,276253
-8.629524,41.156613,91_21,10_3,46_11,5_2,208935
-8.629605,41.156334,90_15,9_2,45_8,5_1,2934
-8.626086,41.157396,160_36,16_4,80_18,8_2,2951
-8.625933,41.157378,163_36,17_4,82_18,9_2,2951
-8.625789,41.157342,166_35,17_4,83_18,9_2,2951
-8.62515,41.157297,179_34,18_4,90_17,9_2,2951
-8.626158,41.157468,159_38,16_4,80_19,8_2,2951
-8.627436,41.157639,133_41,14_5,67_21,7_3,2952
-8.627859,41.157999,125_48,13_5,63_24,7_3,276267
-8.627922,41.158098,123_50,13_5,62_25,7_3,276268
-8.628183,41.158593,118_60,12_6,59_30,6_3,134546
-8.628597,41.159763,110_84,11_9,55_42,6_5,148168
-8.624385,41.157108,194_31,20_4,97_16,10_2,12223
-8.626761,41.15754,147_39,15_4,74_20,8_2,2967
-8.627724,41.157648,127_41,13_5,64_21,7_3,2966
-8.627958,41.157837,123_45,13_5,62_23,7_3,274017
-8.62812,41.158314,119_55,12_6,60_28,6_3,274020
-8.630127,41.158386,79_56,8_6,40_28,4_3,276247
-8.630532,41.157144,71_31,8_4,36_16,4_2,10197
-8.631783,41.157027,46_29,5_3,23_15,3_2,259927
-8.633295,41.158566,16_60,2_6,8_30,1_3,259935
-8.623188,41.156973,218_28,22_3,109_14,11_2,80862
-8.623296,41.156982,216_28,22_3,108_14,11_2,80862
-8.624079,41.157144,200_31,20_4,100_16,10_2,80863
-8.625969,41.157477,163_38,17_4,82_19,9_2,2951
-8.627778,41.157774,126_44,13_5,63_22,7_3,2954
-8.627904,41.158035,124_49,13_5,62_25,7_3,276267
-8.628345,41.158683,115_62,12_7,58_31,6_4,134546
-8.629299,41.158935,96_67,10_7,48_34,5_4,276241
-8.629416,41.158872,94_66,10_7,47_33,5_4,276242
-8.629569,41.158836,91_65,9_7,46_33,5_4,276243
-8.62992,41.158656,83_62,9_7,42_31,5_4,276245
-8.630343,41.157918,75_47,8_5,38_24,4_3,276249
-8.630253,41.157288,77_34,8_4,39_17,4_2,10195
-8.630478,41.157162,72_32,8_4,36_16,4_2,10197
-8.630685,41.157072,68_30,7_3,34_15,4_2,10197
-8.630883,41.156973,64_28,7_3,32_14,4_2,10197
-8.631432,41.156811,53_25,6_3,27_13,3_2,246157
-8.632035,41.157315,41_35,5_4,21_18,3_2,259927
-8.632368,41.157666,35_42,4_5,18_21,2_3,259926
-8.632701,41.158026,28_49,3_5,14_25,2_3,259925
-8.633142,41.158494,19_58,2_6,10_29,1_3,259933
-8.633673,41.158728,8_63,1_7,4_32,1_4,288419
-8.624673,41.157315,188_35,19_4,94_18,10_2,2949
-8.626941,41.157711,143_43,15_5,72_22,8_3,2952
-8.627661,41.157837,129_45,13_5,65_23,7_3,2952
-8.627931,41.157981,123_48,13_5,62_24,7_3,276267
-8.628138,41.158602,119_60,12_6,60_30,6_3,134546
-8.628669,41.159421,109_77,11_8,55_39,6_4,148168
-8.623422,41.155731,213_3,22_1,107_2,11_1,10799
-8.627598,41.155875,130_6,13_1,65_3,7_1,80864
-8.628489,41.156784,112_24,12_3,56_12,6_2,80864
-8.628084,41.157612,120_41,12_5,60_21,6_3,274014
-8.627985,41.157828,122_45,13_5,61_23,7_3,274017
-8.628129,41.158431,119_57,12_6,60_29,6_3,134544
-8.628804,41.159304,106_74,11_8,53_37,6_4,148168
-8.628849,41.159367,105_76,11_8,53_38,6_4,136780
-8.629344,41.158836,95_65,10_7,48_33,5_4,276242
-8.62956,41.158791,91_64,10_7,46_32,5_4,276243
-8.630037,41.158557,81_60,9_6,41_30,5_3,276246
-8.63028,41.158134,76_51,8_6,38_26,4_3,276264
-8.630271,41.15736,76_36,8_4,38_18,4_2,10192
-8.631225,41.15682,57_25,6_3,29_13,3_2,10199
-8.63208,41.157423,40_37,4_4,20_19,2_2,259927
-8.632917,41.158278,24_54,3_6,12_27,2_3,131992
-8.633574,41.158674,10_62,1_7,5_31,1_4,288419
-8.633664,41.158773,9_64,1_7,5_32,1_4,288419
-8.63334,41.158683,15_62,2_7,8_31,1_4,288419
-8.632908,41.159619,24_81,3_9,12_41,2_5,52556
-8.628714,41.159826,108_85,11_9,54_43,6_5,136780
-8.628867,41.159232,105_73,11_8,53_37,6_4,136780
-8.629578,41.158863,90_66,9_7,45_33,5_4,276243
-8.63001,41.158665,82_62,9_7,41_31,5_4,276245
-8.630496,41.158332,72_55,8_6,36_28,4_3,231194
-8.632188,41.158548,38_59,4_6,19_30,2_3,288430
-8.633457,41.158719,13_63,2_7,7_32,1_4,288419
-8.62767,41.155812,128_5,13_1,64_3,7_1,80864
-8.628498,41.156847,112_25,12_3,56_13,6_2,80864
-8.628066,41.157783,121_44,13_5,61_22,7_3,274016
-8.62947,41.158746,92_63,10_7,46_32,5_4,225290
-8.631594,41.158296,50_54,5_6,25_27,3_3,288427
-8.630253,41.159223,77_73,8_8,39_37,4_4,156182
-8.629938,41.158845,83_65,9_7,42_33,5_4,156186
-8.630181,41.157459,78_38,8_4,39_19,4_2,250701
-8.628525,41.156874,111_26,12_3,56_13,6_2,80864
-8.624754,41.157207,187_33,19_4,94_17,10_2,2950
-8.62749,41.157693,132_42,14_5,66_21,7_3,2952
-8.627985,41.157999,122_48,13_5,61_24,7_3,276267
-8.62866,41.158683,109_62,11_7,55_31,6_4,134548
-8.62857,41.160033,110_89,11_9,55_45,6_5,148169
-8.630244,41.157396,77_36,8_4,39_18,4_2,276253
-8.630046,41.157261,81_34,9_4,41_17,5_2,276254
-8.629731,41.157072,87_30,9_3,44_15,5_2,276256
-8.629506,41.156991,92_28,10_3,46_14,5_2,276257
-8.629002,41.156982,102_28,11_3,51_14,6_2,274007
-8.628894,41.157063,104_30,11_3,52_15,6_2,274008
-8.628345,41.157225,115_33,12_4,58_17,6_2,274012
-8.627967,41.157783,123_44,13_5,62_22,7_3,276279
-8.62749,41.158557,132_60,14_6,66_30,7_3,2653
-8.626788,41.158953,146_67,15_7,73_34,8_4,2652
-8.625807,41.159394,166_76,17_8,83_38,9_4,2652
-8.624952,41.159754,183_83,19_9,92_42,10_5,2652
-8.623692,41.16015,208_91,21_10,104_46,11_5,208041
-8.630802,41.160033,66_89,7_9,33_45,4_5,142763
-8.630037,41.159034,81_69,9_7,41_35,5_4,156185
-8.630136,41.158305,79_54,8_6,40_27,4_3,250695
-8.630244,41.15754,77_39,8_4,39_20,4_2,250700
-8.629605,41.15709,90_30,9_3,45_15,5_2,250708
-8.62875,41.157099,107_30,11_3,54_15,6_2,274010
-8.62794,41.156325,123_15,13_2,62_8,7_1,80864
-8.624988,41.15682,182_25,19_3,91_13,10_2,10812
-8.62524,41.155983,177_8,18_1,89_4,9_1,10813
-8.623926,41.156784,203_24,21_3,102_12,11_2,18393
-8.623449,41.158071,213_50,22_5,107_25,11_3,53210
-8.623395,41.158521,214_59,22_6,107_30,11_3,53210
-8.62407,41.159133,200_71,20_8,100_36,10_4,16855
-8.632962,41.158593,23_60,3_6,12_30,2_3,288418
-8.632359,41.158584,35_60,4_6,18_30,2_3,288431
-8.632251,41.158539,37_59,4_6,19_30,2_3,288430
-8.63217,41.158494,38_58,4_6,19_29,2_3,288430
-8.632089,41.158386,40_56,4_6,20_28,2_3,288425
-8.630847,41.158215,65_53,7_6,33_27,4_3,288426
-8.630244,41.157603,77_40,8_4,39_20,4_2,276251
-8.629668,41.157117,89_31,9_4,45_16,5_2,250707
-8.629137,41.157027,99_29,10_3,50_15,5_2,274006
-8.62884,41.157063,105_30,11_3,53_15,6_2,274008
-8.62812,41.157468,119_38,12_4,60_19,6_2,274013
-8.627985,41.15763,122_41,13_5,61_21,7_3,274015
-8.628012,41.158305,122_54,13_6,61_27,7_3,276269
-8.628894,41.158926,104_67,11_7,52_34,6_4,276276
-8.628273,41.157288,116_34,12_4,58_17,6_2,274012
-8.628129,41.157693,119_42,12_5,60_21,6_3,250668
-8.628039,41.157657,121_42,13_5,61_21,7_3,274015
-8.628138,41.15781,119_45,12_5,60_23,6_3,250670
-8.628426,41.15853,113_59,12_6,57_30,6_3,278837
-8.629074,41.158854,100_65,10_7,50_33,5_4,250686
-8.629416,41.1588,94_64,10_7,47_32,5_4,250688
-8.630136,41.158098,79_50,8_5,40_25,4_3,250696
-8.629686,41.157036,88_29,9_3,44_15,5_2,276256
-8.629506,41.156595,92_20,10_2,46_10,5_1,208935
-8.629767,41.155821,87_5,9_1,44_3,5_1,2938
-8.627697,41.156001,128_8,13_1,64_4,7_1,80864
-8.628318,41.156829,116_25,12_3,58_13,6_2,80864
-8.628363,41.157324,115_35,12_4,58_18,6_2,274012
-8.628039,41.157585,121_40,13_4,61_20,7_2,274014
-8.628633,41.15853,109_59,11_6,55_30,6_3,278842
-8.630397,41.158152,74_51,8_6,37_26,4_3,276264
-8.63046,41.157306,73_35,8_4,37_18,4_2,10197
-8.63172,41.156973,47_28,5_3,24_14,3_2,259927
-8.633043,41.158395,21_56,3_6,11_28,2_3,259930
-8.628354,41.155821,115_5,12_1,58_3,6_1,83165
-8.629353,41.156541,95_19,10_2,48_10,5_1,254821
-8.629623,41.156487,89_18,9_2,45_9,5_1,2934
-8.6283,41.156712,116_23,12_3,58_12,6_2,80864
-8.628444,41.156856,113_26,12_3,57_13,6_2,80864
-8.628525,41.157,111_28,12_3,56_14,6_2,80865
-8.628012,41.157639,122_41,13_5,61_21,7_3,274015
-8.628084,41.1579,120_46,12_5,60_23,6_3,250669
-8.628318,41.158521,116_59,12_6,58_30,6_3,134546
-8.629605,41.158836,90_65,9_7,45_33,5_4,276243
-8.630028,41.158665,81_62,9_7,41_31,5_4,276245
-8.623854,41.159187,205_72,21_8,103_36,11_4,16855
-8.62803,41.156199,121_12,13_2,61_6,7_1,80864
-8.628525,41.156847,111_25,12_3,56_13,6_2,80864
-8.628147,41.157657,119_42,12_5,60_21,6_3,250668
